age_kyr_bp,temp_anomaly_c
43.064,-6.62
43.11,-6.83
43.157,-7.51
43.205,-6.83
43.252,-8.03
43.303,-7.93
43.354,-6.47
43.4,-6.93
43.447,-7.36
43.495,-7.9
43.546,-8.06
43.597,-7.37
43.647,-7.57
43.696,-7.81
43.746,-7.22
43.796,-8.42
43.849,-8.68
43.902,-8.02
43.954,-7.94
44.005,-8.74
44.058,-8.66
44.112,-8.31
44.166,-8.82
44.221,-8.77
44.276,-8.44
44.33,-8.04
44.382,-7.04
44.431,-7.63
44.482,-8.73
44.535,-8.3
44.588,-8.46
44.641,-7.9
44.692,-7.57
44.743,-7.92
44.794,-7.8
44.845,-7.78
44.896,-7.57
44.946,-7.65
44.996,-7.75
45.046,-7.17
45.095,-7.12
45.143,-6.62
45.189,-7.04
45.237,-7.0
45.284,-6.92
45.331,-6.59
45.377,-6.79
45.424,-6.51
45.47,-6.97
45.517,-6.9
45.562,-5.27
45.606,-7.05
45.652,-6.19
45.697,-6.69
45.742,-5.44
45.785,-6.01
45.827,-5.35
45.87,-6.28
45.912,-4.25
45.951,-5.14
45.992,-6.03
46.036,-6.86
46.08,-5.8
46.124,-5.24
46.165,-6.38
46.21,-6.31
46.254,-6.12
46.298,-6.18
46.341,-5.7
46.384,-5.72
46.427,-4.85
46.466,-4.57
46.504,-4.03
46.542,-5.64
46.583,-5.51
46.624,-5.05
46.666,-5.68
46.707,-5.25
46.748,-6.58
46.794,-6.49
46.84,-6.86
46.885,-5.88
46.93,-6.44
46.975,-6.44
47.02,-6.17
47.065,-6.75
47.111,-6.8
47.158,-6.24
47.203,-6.44
47.246,-4.97
47.289,-6.67
47.334,-6.64
47.38,-7.15
47.428,-6.59
47.474,-6.97
47.522,-6.73
47.569,-7.0
47.616,-7.2
47.664,-6.24
47.71,-6.27
47.755,-7.13
47.803,-7.66
47.852,-6.65
47.9,-7.25
47.95,-8.94
48.005,-7.92
48.058,-8.02
48.111,-8.55
48.165,-7.94
48.217,-7.31
48.268,-7.99
48.318,-6.8
48.367,-6.63
48.414,-6.8
48.461,-7.31
48.51,-7.0
48.558,-8.51
48.613,-7.56
48.664,-6.93
48.712,-8.32
48.766,-8.17
48.819,-7.08
48.867,-7.01
48.915,-6.54
48.962,-7.57
49.012,-7.67
49.063,-7.59
49.115,-8.17
49.167,-7.28
49.218,-8.05
49.269,-7.64
49.322,-8.39
49.375,-7.36
49.426,-7.96
49.477,-7.16
49.526,-6.75
49.575,-7.54
49.624,-7.45
49.673,-6.1
49.721,-7.7
49.77,-7.67
49.82,-6.3
49.869,-7.67
49.918,-7.49
49.97,-8.18
50.022,-7.06
50.071,-6.64
50.118,-6.96
50.166,-6.5
50.212,-7.02
50.261,-7.53
50.311,-7.5
50.362,-7.06
50.411,-7.05
50.458,-5.64
50.503,-7.17
50.551,-7.43
50.602,-8.11
50.652,-6.25
50.701,-7.02
50.749,-7.48
50.798,-6.59
50.846,-7.5
50.896,-7.37
50.945,-6.69
50.993,-6.71
51.041,-7.84
51.092,-7.38
51.143,-7.38
51.193,-7.22
51.242,-6.95
51.291,-7.02
51.339,-6.77
51.387,-7.21
51.436,-6.61
51.483,-6.42
51.528,-5.98
51.575,-7.41
51.622,-6.57
51.671,-7.35
51.719,-6.11
51.765,-6.64
51.811,-5.49
51.854,-6.81
51.901,-6.26
51.947,-5.97
51.99,-4.62
52.032,-6.36
52.075,-5.24
52.117,-6.23
52.163,-7.27
52.212,-6.32
52.258,-6.86
52.305,-6.32
52.352,-6.75
52.398,-6.07
52.443,-5.66
52.488,-7.04
52.535,-5.97
52.58,-6.35
52.625,-5.28
52.668,-6.72
52.713,-6.11
52.757,-4.61
52.799,-6.11
52.843,-6.18
