age_kyr_bp,co2_ppm
20.019,193.7
20.213,190.5
20.408,190.0
20.537,193.9
20.666,187.8
20.828,192.7
20.964,190.9
21.068,188.4
21.213,190.1
21.345,187.2
21.563,185.2
21.791,188.0
21.914,190.8
22.056,187.4
22.231,191.3
22.292,187.2
22.348,187.0
22.55,184.7
22.604,185.2
22.651,188.5
22.749,190.0
22.834,186.1
22.994,189.4
23.014,190.5
23.107,190.1
23.185,188.6
23.277,197.7
23.358,193.5
23.445,186.8
23.601,188.0
23.874,183.1
24.078,184.7
24.27,186.7
24.644,180.6
25.164,180.7
25.351,182.7
25.544,183.4
25.786,186.5
26.016,184.5
26.255,184.6
26.315,183.8
26.461,186.0
26.537,185.5
26.704,185.4
26.858,186.4
26.955,188.1
27.042,187.4
27.085,186.3
27.17,194.9
27.28,190.1
27.442,191.9
27.503,191.2
27.55,191.5
27.586,191.9
27.661,191.5
27.687,192.7
27.714,190.6
27.719,189.3
27.821,187.6
27.866,190.6
27.885,189.3
27.927,189.0
27.973,189.3
28.097,190.0
28.214,191.8
28.272,191.6
28.37,192.6
28.414,189.2
28.427,189.7
28.577,193.1
28.626,192.8
28.724,193.8
28.842,193.9
28.903,192.7
28.949,193.3
29.009,192.9
29.151,192.3
29.205,188.1
29.25,192.4
29.324,191.0
29.366,189.8
29.41,189.2
29.609,189.2
29.681,189.8
29.743,191.3
29.838,191.0
29.952,191.4
29.999,191.6
30.102,188.2
30.182,188.5
30.278,186.5
30.313,186.0
30.401,184.3
30.529,182.9
30.713,187.1
30.776,190.3
31.105,188.0
31.356,188.5
31.524,189.9
31.792,193.7
31.818,192.9
31.934,192.5
32.027,193.3
32.08,193.9
32.148,196.4
32.151,196.9
32.308,192.5
32.361,195.2
32.435,194.1
32.511,194.6
32.595,194.4
32.678,195.1
32.714,195.9
32.813,199.3
32.881,196.7
33.009,196.3
33.148,197.7
33.417,196.9
33.491,197.1
33.555,197.8
33.758,200.0
33.841,195.6
33.886,195.3
33.907,194.5
33.926,194.5
33.957,196.5
33.992,195.4
34.064,195.9
34.19,194.9
34.251,195.8
34.313,196.3
34.334,196.2
34.557,199.7
34.603,199.5
34.62,200.3
34.648,198.9
34.711,197.2
34.826,202.8
34.867,203.1
35.09,198.8
35.166,203.6
35.282,205.4
35.337,204.5
35.359,203.6
35.383,201.4
35.446,200.3
35.497,201.1
35.508,202.0
35.531,201.9
35.568,201.8
35.672,201.8
35.702,200.5
35.855,203.3
35.948,198.8
36.087,204.1
36.173,201.8
36.262,200.1
36.506,199.0
36.592,205.1
36.67,203.8
36.713,203.8
36.82,202.8
36.94,203.5
37.023,206.4
37.119,210.2
37.143,207.3
37.297,208.2
